review,customer_ID,Date,taste,taste_score,amount,amount_score,delivery,delivery_score,menu,Selected_Menu
너무너무 맛있엇네요,mj**님,어제,맛,5,양,5,배달,0,"치즈볼 로제 파스타/1(맵기조절 선택（2）(＋기본),토핑 옵션 추가선택(＋육즙가득 통 소세지（토핑）),피클O／X(피클O))",치즈볼
맛있었어요~! 다음에 또 시켜먹을게요,xw**님,어제,맛,5,양,5,배달,0,"둘이서 실속 콤보（메뉴2＋사이드1）/1(서비스 메뉴 추가선택(＋（제공）모닝빵＋딸기쨈),서비스 메뉴 추가선택(＋（제공） 모닝빵＋딸기잼),둘이서 콤보 메뉴 선택1(＋（중독）매콤 도로시 크림파스타),메뉴1） 맵기 선택(＋기본]),둘이서 콤보 메뉴 선택2(＋미트소스 파스타),메뉴2） 맵기 선택(＋기본]),（세트）사이드메뉴 선택1(＋[인기]매쉬포테이토와 Grilled스테이크（90g）),음료수 추가선택(환타파인355mL 추가),피클O／X(피클O))",미트소스 파스타
맛있게 잘 먹었습니다,ki**님,2일 전,맛,5,양,5,배달,0,"둘이서 실속 콤보（메뉴2＋사이드1）/1(서비스 메뉴 추가선택(＋（제공） 모닝빵＋딸기잼),서비스 메뉴 추가선택(＋（제공） 한입 포테이토 샐러드),둘이서 콤보 메뉴 선택1(＋쉬림프&베이컨 로제 파스타),메뉴1） 맵기 선택(＋기본]),둘이서 콤보 메뉴 선택2(＋우삼겹 필라프),메뉴2） 맵기 선택(＋기본]),（세트）사이드메뉴 선택1(＋버팔로윙4개),피클O／X(피클X)),＋[NEW]치킨텐더 5개/1","포테이토 샐러드, 우삼겹 필라프, 치킨텐더, 버팔로윙"
생각보다 더매워요 시키실땐 신중하게~,go**님,3일 전,맛,5,양,5,배달,0,"둘이서 실속 콤보（메뉴2＋사이드1）/1(서비스 메뉴 추가선택(＋（제공）모닝빵＋딸기쨈),서비스 메뉴 추가선택(＋（제공） 한입 단호박 샐러드),둘이서 콤보 메뉴 선택1(새우 비스크소스 파스타),메뉴1） 맵기 선택(＋4단계] 도~전정신),둘이서 콤보 메뉴 선택2(＋속풀이해장 얼큰한 파스타),메뉴2） 맵기 선택(＋4단계] 도~전정신),（세트）사이드메뉴 선택1(＋육즙가득 통소세지（＋케찹）),피클O／X(피클O))","새우 비스크소스 파스타, 육즙가득 통소세지, 단호박 샐러드"
"맛있게 잘 먹었습니다^^
리뷰이벤트참여로 주신 감자튀김도 감사히 잘 먹었습니다
파스타에 새우가 정말 통통하고 많이 들어있네요
새우 추가할까했는데 안했어도 충분했어요
야채가 조금더 많았으면 했습니다
다른 메뉴도 궁금하니 다음에도 주문할께요^^",gy**님,5일 전,맛,5,양,5,배달,0,"둘이서 실속 콤보（메뉴2＋사이드1）/1(서비스 메뉴 추가선택(＋（제공）모닝빵＋딸기쨈),서비스 메뉴 추가선택(＋（제공） 모닝빵＋딸기잼),둘이서 콤보 메뉴 선택1(＋쉬림프 알리오올리오),메뉴1） 맵기 선택(＋기본]),메뉴1） 추가선택(＋메뉴1）[[인기]]Grilled스테이크90g（토핑）),둘이서 콤보 메뉴 선택2(＋김치 베이컨 필라프),메뉴2） 맵기 선택(＋기본]),（세트）사이드메뉴 선택1(＋[인기]매쉬포테이토와 Grilled스테이크（90g）),피클O／X(피클O))",쉬림프 알리오올리오
너무 맛있어요 ㅎ 파스타는 항상 여깁니당??????,rl**님,5일 전,맛,5,양,5,배달,0,"새우 비스크소스 파스타/1(피클O／X(피클O)),[ 강력추천 ]미트소스 파스타/1(맵기조절 선택（2）(＋기본),피클O／X(피클O))","새우 비스크소스 파스타, 미트소스 파스타"
"리조또 찬밥 뭉쳐져서 양념 안 묻은거 실화입니까
이거 무슴 비빔밥 비비다 만거 같습니다..ㅋㅋㅋ
가라아케인가 너겟인가 먼가.. 싶네요",co**님,5일 전,맛,1,양,3,배달,0,"시원~한 생맥주 4캔/1,＋새우튀김 4개（＋스윗칠리 소스）/1,＋[ 강력추천 ]타코야끼 8알/1,[ 강력추천 ]투움바 크림리조또/1(맵기조절 선택（2）(＋기본),토핑 옵션 추가선택(＋가라아게 3개（토핑） 추가),피클O／X(피클O))","투움바 크림리조또, 타코야끼, 새우튀김, 가라아게"
맛은 매콤크림파스타가 더 제 취향쓰.. 배달완료 후 문자요청햇는디 문자가 안왓으어,na**님,5일 전,맛,4,양,5,배달,0,"[ 강력추천 ] 투움바 파스타/1(면 종류 선택(＋페투치네면（투움바주문시에만 선택가능）),맵기조절 선택（2）(＋기본),피클O／X(피클O))",투움바 파스타
여전히 매쉬포테이토가 진짜 맛있어요ㅋㅋ,yo**님,5일 전,맛,5,양,5,배달,0,"나혼자 실속 세트（메뉴1＋사이드1＋콜라or스프라이트）/1(메뉴 선택(＋쉬림프&베이컨 필라프),맵기조절 선택（2）(＋기본),토핑 옵션 추가선택(＋[[인기]]Grilled왕새우4개（토핑）),토핑 옵션 추가선택(＋베이컨 추가),（세트）사이드메뉴 선택1(＋[인기]매쉬포테이토와 Grilled스테이크（90g）),서비스 메뉴 추가선택(＋（제공）모닝빵＋딸기쨈),음료 선택(＋코카콜라355mL),피클O／X(피클O))",쉬림프&베이컨 필라프
양도 많고 맛도 맛있었습니다,qk**님,6일 전,맛,5,양,5,배달,0,"둘이서 실속 콤보（메뉴2＋사이드1）/1(서비스 메뉴 추가선택(＋（제공）모닝빵＋딸기쨈),서비스 메뉴 추가선택(＋（제공） 한입 포테이토 샐러드),둘이서 콤보 메뉴 선택1(＋우삼겹 필라프),메뉴1） 맵기 선택(＋기본]),둘이서 콤보 메뉴 선택2(＋（중독）매콤 도로시 크림파스타),메뉴2） 맵기 선택(＋1단계] 신라면 맵기),（세트）사이드메뉴 선택1(＋버팔로윙2개＋치킨가라아게2개),음료수 추가선택(트레비 자몽 300mL 추가),피클O／X(피클X))","포테이토 샐러드, 우삼겹 필라프, 버팔로윙, 가라아게"
